iter	RMSE
0	0.006999086677
1	0.006977649676
2	0.006969410386
3	0.006947820274
4	0.00692508419
5	0.006906309184
6	0.006885971226
7	0.006863230113
8	0.006844365287
9	0.006826376953
10	0.006803381753
11	0.006790241593
12	0.006776117902
13	0.006755161555
14	0.006744305008
15	0.006720693319
16	0.006709559486
17	0.006699379321
18	0.006679698103
19	0.006666181555
20	0.006647038437
21	0.006636315089
22	0.006622190043
23	0.00661191864
24	0.00660448915
25	0.006579400941
26	0.006557310829
27	0.006547532354
28	0.006536767217
29	0.006524837919
30	0.0065138391
31	0.006500351701
32	0.006486930426
33	0.006472271073
34	0.006445667033
35	0.006434943377
36	0.006427784138
37	0.006413976937
38	0.006402462012
39	0.006383745911
40	0.006373106057
41	0.006358416665
42	0.006346796953
43	0.006337020727
44	0.006307811889
45	0.006293935928
46	0.006289063784
47	0.006281474632
48	0.006269852725
49	0.006242051311
50	0.006229343149
51	0.006220601152
52	0.00620870978
53	0.006200966056
54	0.00617417911
